1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,8,5,10,6,3,13,2,10,6,3,4,9,6,17
8,0,9,6,12,7,4,9,15,9,10,6,5,9,11
5,9,0,10,9,9,7,18,7,4,7,3,11,4,10
10,6,10,0,18,2,10,6,5,4,9,12,8,8,10
6,12,9,18,0,9,10,11,11,12,6,5,6,8,9
3,7,9,2,9,0,6,8,9,10,5,2,7,10,6
13,4,7,10,10,6,0,12,8,3,7,4,10,6,9
2,9,18,6,11,8,12,0,7,3,6,18,17,9,2
10,15,7,5,11,9,8,7,0,10,8,3,14,10,3
6,9,4,4,12,10,3,3,10,0,12,5,9,6,3
3,10,7,9,6,5,7,6,8,12,0,19,8,8,11
4,6,3,12,5,2,4,18,3,5,19,0,12,2,9
9,5,11,8,6,7,10,17,14,9,8,12,0,5,6
6,9,4,8,8,10,6,9,10,6,8,2,5,0,2
17,11,10,10,9,6,9,2,3,3,11,9,6,2,0
